Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
STANDARD,1,100,6.6416,0.2349,0.174,
STANDARD,2,100,3.8714,0.3298,0.2891,
STANDARD,3,100,3.2087,0.3536,0.2519,
STANDARD,4,100,2.8734,0.3777,0.2249,
STANDARD,5,100,3.3368,0.3298,0.1799,
STANDARD,6,100,3.1637,0.3312,0.1815,
STANDARD,7,100,3.1548,0.3127,0.1577,
STANDARD,8,100,4.1567,0.192,0.1513,
STANDARD,9,100,3.2664,0.3082,0.1715,
STANDARD,10,100,3.0311,0.3346,0.1851,86.799
STANDARD,11,100,2.983,0.3278,0.1535,
STANDARD,12,100,2.771,0.3483,0.1497,
STANDARD,13,100,3.0294,0.3283,0.1585,
STANDARD,14,100,5.0487,0.1461,0.1449,
STANDARD,15,100,5.1294,0.1825,0.1549,
STANDARD,16,100,3.0577,0.3165,0.151,
STANDARD,17,100,3.4951,0.2642,0.1501,
STANDARD,18,100,3.6724,0.2457,0.1526,
STANDARD,19,100,3.0089,0.3063,0.1374,
STANDARD,20,100,3.1135,0.3079,0.1694,56.8606
STANDARD,21,100,3.8915,0.2416,0.1623,
STANDARD,22,100,5.4304,0.0797,0.0287,
STANDARD,23,100,8.9485,0.0429,0.1732,
STANDARD,24,100,6.4427,0.0639,0.1303,
STANDARD,25,100,5.6072,0.1126,0.0989,
STANDARD,26,100,5.3617,0.1365,0.1121,
STANDARD,27,100,4.9064,0.127,0.1001,
STANDARD,28,100,6.8241,0.006,0.0091,
STANDARD,29,100,8.4215,0.001,0.0026,
STANDARD,30,100,10.7169,0.0003,0.0009,404.8838
STANDARD,31,100,12.0311,0.0014,0.0017,
STANDARD,32,100,11.6279,0.0001,0.0006,
STANDARD,33,100,12.0967,0.0,0.0005,
STANDARD,34,100,15.38,0.001,0.001,
STANDARD,35,100,10.6303,0.0001,0.0016,
STANDARD,36,100,2.4224,38.6068,0.034,
STANDARD,37,100,0.0,50.0,0.037,
STANDARD,38,100,0.0,50.0,0.0323,
STANDARD,39,100,0.0,50.0,0.0349,
STANDARD,40,100,0.0,50.0,0.0343,430.7619
STANDARD,41,100,0.0,50.0,0.035,
STANDARD,42,100,0.0,50.0,0.0351,
STANDARD,43,100,0.0,50.0,0.0347,
STANDARD,44,100,0.0,50.0,0.0381,
STANDARD,45,100,0.0,50.0,0.0333,
STANDARD,46,100,0.0,50.0,0.0351,
STANDARD,47,100,0.0,50.0,0.0345,
STANDARD,48,100,0.0,50.0,0.0361,
STANDARD,49,100,0.0,50.0,0.0345,
STANDARD,50,100,0.0,50.0,0.0356,432.6417
STANDARD,51,100,0.0,50.0,0.0358,
STANDARD,52,100,0.0,50.0,0.0358,
STANDARD,53,100,0.0,50.0,0.0367,
STANDARD,54,100,0.0,50.0,0.0344,
STANDARD,55,100,0.0,50.0,0.035,
STANDARD,56,100,0.0,50.0,0.0359,
STANDARD,57,100,0.0,50.0,0.0354,
STANDARD,58,100,0.0,50.0,0.035,
STANDARD,59,100,0.0,50.0,0.0354,
STANDARD,60,100,0.0,50.0,0.0366,434.0587
STANDARD,61,100,0.0,50.0,0.0354,
STANDARD,62,100,0.0,50.0,0.0358,
STANDARD,63,100,0.0,50.0,0.0336,
STANDARD,64,100,0.0,50.0,0.0358,
STANDARD,65,100,0.0,50.0,0.0342,
STANDARD,66,100,0.0,50.0,0.0374,
STANDARD,67,100,0.0,50.0,0.0336,
STANDARD,68,100,0.0,50.0,0.035,
STANDARD,69,100,0.0,50.0,0.0357,
STANDARD,70,100,0.0,50.0,0.0369,435.4851
STANDARD,71,100,0.0,50.0,0.0367,
STANDARD,72,100,0.0,50.0,0.0356,
STANDARD,73,100,0.0,50.0,0.0333,
STANDARD,74,100,0.0,50.0,0.0342,
STANDARD,75,100,0.0,50.0,0.0352,
STANDARD,76,100,0.0,50.0,0.0352,
STANDARD,77,100,0.0,50.0,0.0361,
STANDARD,78,100,0.0,50.0,0.0368,
STANDARD,79,100,0.0,50.0,0.036,
STANDARD,80,100,0.0,50.0,0.0364,435.4408
STANDARD,81,100,0.0,50.0,0.0354,
STANDARD,82,100,0.0,50.0,0.0323,
STANDARD,83,100,0.0,50.0,0.0363,
STANDARD,84,100,0.0,50.0,0.0358,
STANDARD,85,100,0.0,50.0,0.0371,
STANDARD,86,100,0.0,50.0,0.0352,
STANDARD,87,100,0.0,50.0,0.0359,
STANDARD,88,100,0.0,50.0,0.035,
STANDARD,89,100,0.0,50.0,0.0364,
STANDARD,90,100,0.0,50.0,0.0369,432.2737
STANDARD,91,100,0.0,50.0,0.0349,
STANDARD,92,100,0.0,50.0,0.0355,
STANDARD,93,100,0.0,50.0,0.0352,
STANDARD,94,100,0.0,50.0,0.0339,
STANDARD,95,100,0.0,50.0,0.0358,
STANDARD,96,100,0.0,50.0,0.034,
STANDARD,97,100,0.0,50.0,0.0367,
STANDARD,98,100,0.0,50.0,0.033,
STANDARD,99,100,0.0,50.0,0.0352,
STANDARD,100,100,0.0,50.0,0.0341,432.5347
LSGAN,1,100,2.5751,0.7712,0.0248,
LSGAN,2,100,0.4411,0.0899,0.052,
LSGAN,3,100,0.5443,0.0951,0.1483,
LSGAN,4,100,0.4421,0.1374,0.1661,
LSGAN,5,100,0.4441,0.1435,0.2418,
LSGAN,6,100,0.4383,0.1709,0.2869,
LSGAN,7,100,0.4396,0.1826,0.2797,
LSGAN,8,100,0.447,0.1568,0.2688,
LSGAN,9,100,0.4549,0.1368,0.2226,
LSGAN,10,100,0.4394,0.1389,0.1747,108.7262
LSGAN,11,100,0.4494,0.1233,0.1659,
LSGAN,12,100,0.4546,0.1122,0.1607,
LSGAN,13,100,0.4597,0.1108,0.1456,
