Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
STANDARD,1,150,14.1684,0.3058,0.1054,
STANDARD,2,150,4.6046,0.287,0.1041,
STANDARD,3,150,3.5411,0.3585,0.1644,
STANDARD,4,150,3.4229,0.4118,0.0779,
STANDARD,5,150,3.3405,0.3887,0.0696,
STANDARD,6,150,3.6822,0.3057,0.0775,
STANDARD,7,150,3.9012,0.2724,0.1013,
STANDARD,8,150,4.0692,0.2811,0.0828,
STANDARD,9,150,3.9741,0.249,0.0866,
STANDARD,10,150,3.9324,0.2501,0.076,112.0867
STANDARD,11,150,3.8684,0.2747,0.0635,
STANDARD,12,150,3.8203,0.2692,0.0858,
STANDARD,13,150,3.6872,0.2158,0.0754,
STANDARD,14,150,3.5778,0.2627,0.0922,
STANDARD,15,150,3.7587,0.2417,0.0983,
STANDARD,16,150,3.5936,0.2345,0.0985,
STANDARD,17,150,3.8446,0.2433,0.0921,
STANDARD,18,150,3.8835,0.226,0.0959,
STANDARD,19,150,3.8822,0.1704,0.0955,
STANDARD,20,150,3.8453,0.2263,0.0949,72.7038
STANDARD,21,150,3.9757,0.2095,0.0842,
STANDARD,22,150,4.1602,0.1586,0.0821,
STANDARD,23,150,4.3628,0.1899,0.1029,
STANDARD,24,150,4.2399,0.1674,0.104,
STANDARD,25,150,4.2472,0.1472,0.1002,
STANDARD,26,150,4.2764,0.1808,0.0789,
STANDARD,27,150,4.3747,0.145,0.0834,
STANDARD,28,150,4.6242,0.1359,0.096,
STANDARD,29,150,4.5446,0.1545,0.0776,
STANDARD,30,150,4.6671,0.1382,0.0781,56.817
STANDARD,31,150,4.5864,0.1677,0.0776,
STANDARD,32,150,4.4206,0.1707,0.1071,
STANDARD,33,150,4.742,0.1307,0.0599,
STANDARD,34,150,4.7269,0.1039,0.1067,
STANDARD,35,150,4.4229,0.2038,0.0658,
STANDARD,36,150,4.4818,0.162,0.0746,
STANDARD,37,150,4.5574,0.1139,0.1095,
STANDARD,38,150,4.4356,0.1535,0.0968,
STANDARD,39,150,4.61,0.1532,0.1034,
STANDARD,40,150,4.7139,0.1488,0.0717,45.8346
STANDARD,41,150,4.6164,0.1708,0.1225,
STANDARD,42,150,4.6038,0.1608,0.0929,
STANDARD,43,150,4.5959,0.1033,0.0958,
STANDARD,44,150,4.8274,0.1615,0.0549,
STANDARD,45,150,4.7756,0.0939,0.0806,
STANDARD,46,150,4.9228,0.1406,0.0843,
STANDARD,47,150,4.8685,0.1279,0.0831,
STANDARD,48,150,5.0007,0.1713,0.0644,
STANDARD,49,150,4.9947,0.1134,0.1001,
