Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
STANDARD,1,50,22.9156,0.1021,0.0425,
STANDARD,2,50,28.3493,0.0695,0.0428,
STANDARD,3,50,5.8621,0.3591,0.1075,
STANDARD,4,50,2.232,0.487,0.1724,
STANDARD,5,50,2.8695,0.3394,0.2432,
STANDARD,6,50,4.3684,0.2205,0.2222,
STANDARD,7,50,4.9556,0.1203,0.1299,
STANDARD,8,50,4.8278,0.3097,0.1531,
STANDARD,9,50,3.0949,0.3469,0.1964,
STANDARD,10,50,3.3837,0.2306,0.1191,197.5434
STANDARD,11,50,3.8019,0.3553,0.1368,
STANDARD,12,50,2.7554,0.3733,0.1266,
STANDARD,13,50,2.4978,0.3629,0.1509,
STANDARD,14,50,2.7771,0.3582,0.1508,
STANDARD,15,50,3.0862,0.3731,0.1352,
STANDARD,16,50,2.8061,0.3625,0.122,
STANDARD,17,50,2.3429,0.418,0.096,
STANDARD,18,50,2.5103,0.3627,0.1142,
STANDARD,19,50,2.9175,0.2864,0.1127,
STANDARD,20,50,2.899,0.3216,0.1076,124.7695
STANDARD,21,50,3.0193,0.3104,0.1189,
STANDARD,22,50,3.0382,0.345,0.1025,
STANDARD,23,50,2.7358,0.3683,0.1116,
STANDARD,24,50,2.9105,0.3501,0.123,
STANDARD,25,50,3.2073,0.2718,0.0953,
STANDARD,26,50,2.8655,0.2852,0.1141,
STANDARD,27,50,3.1655,0.254,0.1143,
STANDARD,28,50,3.064,0.3606,0.1002,
STANDARD,29,50,2.7267,0.2739,0.0709,
STANDARD,30,50,3.0334,0.3224,0.0971,95.418
STANDARD,31,50,2.7553,0.3207,0.1091,
STANDARD,32,50,3.2266,0.1966,0.1029,
STANDARD,33,50,3.1444,0.1954,0.1011,
STANDARD,34,50,3.3313,0.3098,0.0859,
STANDARD,35,50,3.3491,0.1697,0.0805,
STANDARD,36,50,3.5793,0.2034,0.0722,
STANDARD,37,50,3.6887,0.2243,0.1057,
STANDARD,38,50,3.3853,0.3126,0.1228,
STANDARD,39,50,3.5164,0.2212,0.1008,
STANDARD,40,50,3.4737,0.1843,0.1176,94.7176
STANDARD,41,50,3.6561,0.2316,0.0782,
STANDARD,42,50,3.5373,0.2286,0.086,
STANDARD,43,50,4.0069,0.1532,0.0983,
STANDARD,44,50,3.8521,0.1611,0.1132,
STANDARD,45,50,3.7873,0.3755,0.082,
STANDARD,46,50,3.6792,0.2301,0.1177,
STANDARD,47,50,3.4661,0.2114,0.0911,
STANDARD,48,50,3.6887,0.2309,0.1377,
STANDARD,49,50,3.3444,0.1679,0.1305,
STANDARD,50,50,3.51,0.1955,0.1048,97.4559
LSGAN,1,50,9.7819,2.9639,0.0433,
LSGAN,2,50,5.2542,1.6928,0.0352,
LSGAN,3,50,1.4649,0.4221,0.0206,
LSGAN,4,50,0.4965,0.1047,0.0198,
LSGAN,5,50,0.4132,0.129,0.0344,
LSGAN,6,50,0.3647,0.1264,0.0501,
LSGAN,7,50,0.3554,0.1341,0.0589,
LSGAN,8,50,0.3591,0.1593,0.0817,
LSGAN,9,50,0.3289,0.1657,0.0845,
LSGAN,10,50,0.3532,0.1682,0.0773,150.7258
LSGAN,11,50,0.4551,0.1348,0.0881,
LSGAN,12,50,0.4935,0.0998,0.1007,
LSGAN,13,50,0.5017,0.0966,0.0995,
LSGAN,14,50,0.4501,0.1283,0.1018,
LSGAN,15,50,0.3585,0.1576,0.1054,
LSGAN,16,50,0.4276,0.1251,0.1084,
LSGAN,17,50,0.421,0.1283,0.109,
LSGAN,18,50,0.4279,0.1449,0.0927,
LSGAN,19,50,0.3473,0.1629,0.1023,
LSGAN,20,50,0.3605,0.1842,0.1098,168.6597
LSGAN,21,50,0.3888,0.1823,0.1264,
LSGAN,22,50,0.3854,0.1819,0.1024,
LSGAN,23,50,0.3715,0.1807,0.0878,
LSGAN,24,50,0.386,0.1917,0.0975,
LSGAN,25,50,0.3979,0.1988,0.0738,
LSGAN,26,50,0.382,0.1925,0.1024,
LSGAN,27,50,0.3886,0.1646,0.0949,
LSGAN,28,50,0.4085,0.1837,0.1189,
LSGAN,29,50,0.368,0.1866,0.107,
LSGAN,30,50,0.376,0.1877,0.0968,137.0922
LSGAN,31,50,0.3672,0.1928,0.094,
LSGAN,32,50,0.3751,0.1654,0.0978,
LSGAN,33,50,0.4101,0.1767,0.1054,
LSGAN,34,50,0.3732,0.199,0.0815,
LSGAN,35,50,0.3426,0.199,0.0996,
LSGAN,36,50,0.3693,0.1903,0.0966,
LSGAN,37,50,0.3802,0.1898,0.107,
LSGAN,38,50,0.3831,0.1764,0.1163,
LSGAN,39,50,0.4043,0.1733,0.1136,
LSGAN,40,50,0.4094,0.1685,0.1031,122.0704
LSGAN,41,50,0.4173,0.1626,0.1014,
LSGAN,42,50,0.4287,0.1604,0.0954,
LSGAN,43,50,0.4481,0.1368,0.1466,
LSGAN,44,50,0.462,0.1278,0.1065,
LSGAN,45,50,0.4791,0.1329,0.1364,
LSGAN,46,50,0.4593,0.1443,0.0898,
LSGAN,47,50,0.4449,0.1215,0.1166,
LSGAN,48,50,0.4577,0.1328,0.1182,
LSGAN,49,50,0.4416,0.1312,0.0844,
LSGAN,50,50,0.444,0.1451,0.0959,121.1323
WGAN,1,50,0.7623,-1.4759,0.0742,
WGAN,2,50,0.6727,-1.29,0.0913,
WGAN,3,50,0.6407,-1.2002,0.1188,
WGAN,4,50,0.5475,-1.0886,0.1003,
WGAN,5,50,0.5359,-1.0331,0.0885,
WGAN,6,50,0.3811,-0.7857,0.0819,
WGAN,7,50,0.33,-0.7555,0.0932,
WGAN,8,50,0.2861,-0.7286,0.0905,
WGAN,9,50,0.3496,-0.699,0.0913,
WGAN,10,50,0.3089,-0.6646,0.0989,161.136
WGAN,11,50,0.2829,-0.6146,0.098,
WGAN,12,50,0.299,-0.5995,0.0994,
WGAN,13,50,0.2988,-0.588,0.0912,
WGAN,14,50,0.304,-0.5652,0.1021,
WGAN,15,50,0.2986,-0.5591,0.0942,
