Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID,dataset
,1,150,43.5752,-15.3683,0.0373,,euro_hybrid
,2,150,28.7482,-8.7553,0.0392,,
,3,150,27.8542,-8.5988,0.0494,,
,4,150,32.1655,-10.2328,0.0387,,
,5,150,39.5128,-7.2483,0.0579,,
,6,150,41.8499,-8.1765,0.0377,,
,7,150,44.393,-7.0985,0.036,,
,8,150,48.3962,-10.1471,0.0391,,
,9,150,53.3138,-10.4018,0.059,,
,10,150,47.975,-4.7752,0.0363,137.7706,
,11,150,50.2538,-8.3155,0.0513,,
,12,150,41.0621,-1.8467,0.0322,,
,13,150,52.5661,-3.6389,0.037,,
,14,150,56.3262,-15.3257,0.0464,,
,15,150,61.1501,-11.2279,0.0374,,
,16,150,55.6925,15.7514,0.0489,,
,17,150,62.8247,-8.7867,0.0552,,
,18,150,65.7234,-2.8852,0.0405,,
,19,150,60.8026,-7.1893,0.0522,,
,20,150,65.2674,-7.5708,0.0366,143.7274,
,21,150,65.7915,-6.9849,0.0496,,
,22,150,67.3405,-12.0226,0.0528,,
,23,150,65.027,-8.0421,0.0359,,
,24,150,67.3978,1.8532,0.0447,,
,25,150,66.3615,-8.6733,0.051,,
,26,150,68.2547,0.2917,0.0471,,
,27,150,71.2875,12.4017,0.0377,,
,28,150,80.7,-4.2784,0.0477,,
,29,150,76.4653,-13.2453,0.0372,,
,30,150,76.6459,-16.4309,0.0512,119.9179,
,31,150,74.8178,9.2079,0.0299,,
,32,150,73.3605,-12.1365,0.0474,,
,33,150,74.5484,-0.0812,0.0485,,
,34,150,80.5262,-10.7177,0.0424,,
,35,150,80.5994,-17.5916,0.0429,,
,36,150,83.051,-8.8842,0.0616,,
,37,150,83.974,-7.4226,0.0545,,
,38,150,89.3639,3.369,0.0407,,
,39,150,89.4246,3.5036,0.0418,,
,40,150,86.9678,-3.0946,0.045,109.5522,
,41,150,90.0562,-2.5541,0.0442,,
,42,150,88.6859,6.6442,0.0657,,
,43,150,87.1378,6.5674,0.0605,,
,44,150,89.975,-4.6883,0.0407,,
,45,150,87.2131,33.7854,0.052,,
,46,150,88.3824,18.8418,0.0358,,
,47,150,85.5036,-4.8659,0.0516,,
,48,150,88.1518,-6.7786,0.0495,,
,49,150,85.7349,0.0345,0.0438,,
,50,150,79.1831,1.5561,0.0396,97.4654,
,51,150,78.4742,-8.2337,0.0449,,
,52,150,80.0874,-7.2101,0.0563,,
,53,150,74.4,1.7137,0.0572,,
,54,150,73.0919,-10.1673,0.0493,,
,55,150,75.2372,-0.4696,0.0439,,
,56,150,75.1975,9.3928,0.0516,,
,57,150,78.983,5.6961,0.0483,,
,58,150,82.9208,-1.7011,0.0463,,
,59,150,85.8185,-4.9731,0.0597,,
,60,150,83.0139,7.5479,0.0456,107.4559,
