Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
,1,100,-22.153,-23.0592,0.3313,
,2,100,-3.3642,-13.7896,0.3432,
,3,100,10.8776,0.71,0.3267,
,4,100,23.1704,4.829,0.1946,
,5,100,11.2064,-2.9282,0.1978,
,6,100,11.0691,-3.0035,0.1885,
,7,100,9.6263,-3.0263,0.1989,
,8,100,11.179,-3.2162,0.194,
,9,100,25.7186,-3.527,0.1998,
,10,100,37.9338,-4.0456,0.2142,45.979
,11,100,58.6896,-4.1267,0.2075,
,12,100,67.511,-3.3109,0.2014,
,13,100,65.71,-3.4574,0.1978,
,14,100,57.2798,-3.3955,0.1921,
,15,100,62.7126,-3.3012,0.1894,
,16,100,65.4249,-3.2322,0.1884,
,17,100,73.1371,-3.1963,0.1913,
,18,100,81.4497,-3.0627,0.1899,
,19,100,91.4364,-2.952,0.1849,
,20,100,100.775,-2.6344,0.1835,46.4333
,21,100,105.9595,-2.5199,0.1869,
,22,100,126.691,-2.4013,0.1819,
,23,100,134.8371,-2.4496,0.1843,
,24,100,162.9343,-1.7883,0.1733,
,25,100,166.6868,-1.451,0.1778,
,26,100,192.5862,-1.5022,0.1738,
,27,100,185.9897,-1.659,0.1686,
,28,100,187.8393,-1.7262,0.187,
,29,100,210.707,-1.8807,0.1837,
,30,100,177.3496,-1.9079,0.1814,86.8488
,31,100,195.9737,-1.9366,0.1833,
,32,100,88.5417,-1.9491,0.1723,
,33,100,96.0772,-1.9098,0.1817,
,34,100,81.9611,-1.8643,0.1701,
,35,100,91.6722,-1.8617,0.1854,
,36,100,117.2756,-1.825,0.1811,
,37,100,33.2441,-1.8242,0.1853,
,38,100,-83.5031,-1.782,0.1782,
,39,100,57.3826,-1.7873,0.1837,
,40,100,23.5239,-1.7273,0.1682,103.1474
,41,100,-112.3045,-1.6773,0.1753,
,42,100,-188.4918,-1.6246,0.1695,
,43,100,-64.2783,-1.63,0.1781,
,44,100,94.3297,-1.7004,0.1818,
,45,100,-35.9133,-1.8177,0.1843,
,46,100,-57.0788,-1.7921,0.1842,
,47,100,89.5899,-1.7646,0.183,
,48,100,134.34,-1.7292,0.1815,
,49,100,358.9429,-1.7747,0.1826,
,50,100,846.7557,-1.6877,0.1713,73.3554
,51,100,996.0666,-1.74,0.1788,
,52,100,728.7855,-1.6465,0.1853,
,53,100,711.9833,-1.6652,0.1885,
,54,100,701.6519,-1.6414,0.1746,
,55,100,934.647,-1.6895,0.1924,
,56,100,888.0626,-1.5791,0.185,
,57,100,812.6486,-1.6443,0.1855,
,58,100,928.6599,-1.5817,0.1703,
,59,100,676.9762,-1.5395,0.1773,
,60,100,656.1089,-1.6078,0.1819,83.1467
,61,100,937.0885,-1.5791,0.1885,
,62,100,566.0408,-1.501,0.1977,
,63,100,994.0536,-1.5057,0.1831,
,64,100,1019.3045,-1.5541,0.1902,
,65,100,653.6383,-1.4603,0.189,
,66,100,842.7509,-1.5168,0.1824,
,67,100,1110.87,-1.6153,0.1909,
,68,100,1095.8092,-1.4939,0.1814,
,69,100,548.6304,-1.4967,0.1772,
,70,100,1322.259,-1.5153,0.1863,68.605
,71,100,1007.8023,-1.504,0.1861,
,72,100,1049.4047,-1.5523,0.1762,
,73,100,1029.7244,-1.5028,0.1853,
,74,100,269.9096,-1.4912,0.1831,
,75,100,504.8787,-1.4569,0.1932,
,76,100,1249.1475,-1.4691,0.1791,
,77,100,599.442,-1.4634,0.1791,
,78,100,1179.1878,-1.4364,0.1809,
,79,100,1172.3261,-1.4236,0.1852,
,80,100,1388.3811,-1.4464,0.1778,88.444
,81,100,1342.9977,-1.4616,0.1852,
,82,100,657.3737,-1.4206,0.1881,
,83,100,1402.8221,-1.4824,0.1839,
,84,100,1228.1992,-1.4356,0.1867,
,85,100,766.184,-1.4664,0.1816,
,86,100,669.2491,-1.4916,0.1782,
,87,100,1051.6814,-1.4985,0.171,
,88,100,836.6473,-1.4087,0.1784,
,89,100,66.2167,-1.4779,0.1788,
,90,100,811.9045,-1.4397,0.178,98.1234
,91,100,530.1395,-1.4313,0.1889,
,92,100,662.6483,-1.2938,0.1807,
,93,100,999.7066,-1.3397,0.1871,
,94,100,212.0396,-1.2486,0.1975,
,95,100,-440.0632,-1.3424,0.1877,
,96,100,18.3145,-1.3682,0.1794,
,97,100,-759.6733,-1.3665,0.1917,
,98,100,797.4346,-1.2909,0.1863,
,99,100,695.4417,-1.3481,0.1673,
,100,100,980.8184,-1.2745,0.1862,125.7346
